key,LC-TMC-EC-OC,smart selection,non-significant
BC,46.0,195.0,48.0
WM,48.0,164.0,77.0
LC,59.0,87.0,143.0
TMC,19.0,8.0,262.0
NTMC,12.0,107.0,170.0
DBC,8.0,268.0,13.0
EC,33.0,77.0,179.0
OC,27.0,63.0,199.0
