key,WM-TMC-EC-OC,smart selection,non-significant
BC,39.0,196.0,54.0
WM,77.0,44.0,168.0
LC,55.0,168.0,66.0
TMC,15.0,11.0,263.0
NTMC,6.0,139.0,144.0
DBC,7.0,265.0,17.0
EC,16.0,92.0,181.0
OC,22.0,38.0,229.0
