key,WM-TMC-EC-OC,smart selection,non-significant
BC,41.0,204.0,44.0
WM,129.0,29.0,131.0
LC,58.0,175.0,56.0
TMC,21.0,13.0,255.0
NTMC,6.0,148.0,135.0
DBC,9.0,266.0,14.0
EC,27.0,70.0,192.0
OC,22.0,64.0,203.0
