key,LC-TMC-EC-OC,smart selection,non-significant
BC,38.0,190.0,61.0
WM,37.0,164.0,88.0
LC,59.0,49.0,181.0
TMC,13.0,15.0,261.0
NTMC,8.0,111.0,170.0
DBC,7.0,266.0,16.0
EC,26.0,91.0,172.0
OC,34.0,32.0,223.0
