key,original combination,constituent criterion,non-significant
BC,8.0,208.0,184.0
WM,11.0,146.0,243.0
LC,14.0,174.0,212.0
TMC,15.0,50.0,335.0
NTMC,42.0,76.0,282.0
DBC,27.0,188.0,185.0
EC,35.0,149.0,216.0
OC,15.0,122.0,263.0
