approach,BC,WM,LC,TMC,NTMC,DBC,EC,OC
smart selection,0.598684838254551,0.6326426763942423,0.6386004100163787,0.8508056101317372,0.7354909004294803,0.5930791228717144,14.35,0.47053846918772857
original combination,0.5919312346531534,0.6308245746599349,0.6333728679895844,0.8548729057756924,0.732873727204458,0.5848423381390632,13.678095238095239,0.4661121875246677
constituent criterion,0.6081221887574014,0.6370342813464039,0.6414885258636485,0.8509160877990896,0.7245897993411279,0.5921179300031778,13.888817891373803,0.47389988896941193
