approach,BC,WM,LC,TMC,NTMC,DBC,EC,OC
smart selection,0.5887642980024169,0.6191560471426367,0.6255457091618501,0.8428088530268653,0.7306844289680661,0.5849100016811093,18.701790281329924,0.46709796584485014
original combination,0.5727129139705901,0.6088114557316471,0.6143993358456068,0.846015518441286,0.7244998769230803,0.5671820422184868,17.00530303030303,0.4592571806153775
constituent criterion,0.6014526482135183,0.6199887532701724,0.6260094752783312,0.8514230951886442,0.7261100633619414,0.589761974354512,18.893556701030928,0.4750244381284725
