approach,BC,WM,LC,TMC,NTMC,DBC,EC,OC
smart selection,0.5792581973871467,0.615003189339757,0.6216270565719798,0.8486737176563759,0.7261826589895898,0.5722385916757216,13.28962962962963,0.4563922117417684
original combination,0.5670032280551676,0.6092718522743342,0.6123850028915957,0.850783885166382,0.7203130519848715,0.5593249847246161,12.475343915343915,0.45137878060794634
constituent criterion,0.5924406606163697,0.6179759746114705,0.624154323546502,0.8468806704967741,0.7152250492777994,0.5788709748167818,12.946455026455027,0.4600582442992162
