approach,Size
smart selection,62.596923076923076
original combination,57.67443037974684
BC,42.749360613810744
WM,24.663636363636364
LC,29.532828282828284
TMC,25.118181818181817
NTMC,21.283375959079283
DBC,45.485786802030454
EC,55.34884910485933
OC,51.17737789203085
