approach,BC,WM,LC,TMC,NTMC,DBC,EC,OC
smart selection,0.6100064409131198,0.642658291462333,0.6459999392500193,0.8491685135413998,0.7380584026061187,0.604454455872507,14.747385620915033,0.4787011459045319
original combination,0.6003786395374688,0.6391316929886837,0.640687553329297,0.8554339830291022,0.7363967952010941,0.5939109608995705,13.867202572347267,0.47307429192678874
constituent criterion,0.6146827333220951,0.6438115006108939,0.6474285570429086,0.853555044753198,0.728957679636922,0.5992967870055466,14.052287581699346,0.4815435549377458
