key,original combination,smart selection,non-significant
BC,10.0,150.0,240.0
WM,74.0,112.0,214.0
LC,24.0,134.0,242.0
TMC,14.0,42.0,344.0
NTMC,4.0,83.0,313.0
DBC,8.0,161.0,231.0
EC,2.0,180.0,218.0
OC,16.0,85.0,299.0
