approach,Size
smart selection,37.274708994708995
original combination,36.385185185185186
BC,20.34243386243386
WM,15.085502645502645
LC,17.021693121693122
TMC,14.552380952380952
NTMC,12.215238095238096
DBC,22.226137566137567
EC,28.63820105820106
OC,25.384867724867725
