approach,BC,WM,LC,TMC,NTMC,DBC,EC,OC
smart selection,0.615260958799836,0.6472422005068017,0.6512112624677073,0.8537738773447201,0.741848034300038,0.6097844832922366,15.207166123778501,0.48090174104195327
original combination,0.603258722912227,0.6418437106695577,0.6411337411935679,0.8535014862640337,0.7344269749173574,0.5971173046202596,14.470096463022507,0.47474734195899304
constituent criterion,0.6160602262365737,0.6487579915799335,0.6484434820610946,0.8532545995513632,0.732425290073934,0.5999642977049064,14.123778501628664,0.4784792228203615
