approach,BC,WM,LC,TMC,NTMC,DBC,EC,OC
smart selection,0.45323980863503327,0.48036364557437883,0.5033096435900698,0.7912370338489406,0.6653601047033715,0.45157052163213196,25.68627450980392,0.3879744722955493
original combination,0.4097651416538558,0.4409364968941492,0.46659744134651787,0.771749965028616,0.6325954471214447,0.4050890546382219,22.079607843137254,0.36127203035194644
constituent criterion,0.5061117393036839,0.474464830861399,0.4976820155616655,0.8186920135833614,0.6757657780816488,0.49951338649533245,29.74274509803922,0.4135477992044687
