key,original combination,smart selection,non-significant
BC,0.0,60.0,25.0
WM,2.0,53.0,30.0
LC,1.0,59.0,25.0
TMC,4.0,32.0,49.0
NTMC,1.0,44.0,40.0
DBC,0.0,64.0,21.0
EC,0.0,53.0,32.0
OC,0.0,39.0,46.0
