key,original combination,smart selection,non-significant
BC,12.0,97.0,206.0
WM,73.0,60.0,182.0
LC,22.0,81.0,212.0
TMC,9.0,12.0,294.0
NTMC,5.0,39.0,271.0
DBC,9.0,105.0,201.0
EC,4.0,125.0,186.0
OC,15.0,48.0,252.0
