approach,BC,WM,LC,TMC,NTMC,DBC,EC,OC
smart selection,0.5524792897773225,0.5863922862896142,0.5964846063133239,0.836468422347296,0.7132578662037684,0.5465966267914588,15.923916666666667,0.44185344210944694
original combination,0.5335901346948888,0.573500589256045,0.5814051460632667,0.8339891771371069,0.7016730609513933,0.5265498495812574,14.51625,0.4322310961785464
constituent criterion,0.5740957648374239,0.5874798565645803,0.5972789580997244,0.8408905809026739,0.7068399541486176,0.5620074872984738,16.515666666666668,0.4501747747165824
