approach,BC,WM,LC,TMC,NTMC,DBC,EC,OC
smart selection,0.5957065143768323,0.6256146383355946,0.6324315129941173,0.84788735641001,0.7351682183290859,0.5921126173376181,19.27179487179487,0.4706725087730196
original combination,0.5782545992491227,0.6141133557353126,0.6176262001303339,0.8476702550091274,0.726222608583324,0.573520012924903,17.809620253164557,0.46302653708333247
constituent criterion,0.6051465374349676,0.6254578655775024,0.6268722819361172,0.8525577449078123,0.7307218676271391,0.5909790804498223,19.26854219948849,0.473084865164306
