key,smart selection,constituent criterion,non-significant
BC,23.0,168.0,209.0
WM,46.0,126.0,228.0
LC,65.0,108.0,227.0
TMC,18.0,55.0,327.0
NTMC,50.0,51.0,299.0
DBC,51.0,145.0,204.0
EC,98.0,72.0,230.0
OC,19.0,92.0,289.0
