key,smart selection without the subsumption strategy,smart selection,non-significant
BC,23.0,3.0,16.0
WM,17.0,8.0,17.0
LC,28.0,3.0,11.0
TMC,9.0,4.0,29.0
NTMC,12.0,2.0,28.0
DBC,23.0,2.0,17.0
EC,20.0,3.0,19.0
OC,19.0,2.0,21.0
