approach,BC,WM,LC,TMC,NTMC,DBC,EC,OC
smart selection,0.6142720319008351,0.6377309496199663,0.6472337255741903,0.8528232760230631,0.7365916124967816,0.6097040264314786,14.46058631921824,0.47556617877439694
original combination,0.612308415650741,0.6492493674824154,0.6481603016362881,0.8560222673730583,0.7355161668813127,0.6073140187699521,14.295765472312704,0.4748263627034352
constituent criterion,0.6176956646731243,0.6476375242005104,0.6426215285313445,0.8420762055621819,0.7148677259001582,0.6085739719017162,14.139805825242718,0.4805217098739955
