key,smart selection,constituent criterion,non-significant
BC,26.0,130.0,244.0
WM,42.0,177.0,181.0
LC,111.0,89.0,200.0
TMC,80.0,42.0,278.0
NTMC,99.0,32.0,269.0
DBC,39.0,94.0,267.0
EC,100.0,56.0,244.0
OC,21.0,60.0,319.0
