approach,Size
smart selection,40.37516129032258
original combination,41.28782051282051
BC,21.52475884244373
WM,16.46624203821656
LC,17.953184713375798
TMC,14.583757961783439
NTMC,12.256507936507937
DBC,23.568387096774195
EC,30.419808306709264
OC,27.057371794871795
