approach,BC,WM,LC,TMC,NTMC,DBC,EC,OC
smart selection,0.5460703554335966,0.5673280634053711,0.5835731771537713,0.8286080797237075,0.710820546549313,0.5523248906202567,39.55185185185185,0.4419745635501982
original combination,0.5193497272080025,0.5493646256548068,0.5643223595894022,0.8287092752069388,0.6959786005226224,0.5251815106663865,36.32098765432099,0.42364859628949836
constituent criterion,0.5623296758452964,0.5717331403509807,0.5833751252137721,0.801620778704031,0.6711535566373777,0.5636519309427183,37.079268292682926,0.4541844152743111
