key,original combination,smart selection,non-significant
BC,1.0,47.0,37.0
WM,17.0,32.0,36.0
LC,6.0,37.0,42.0
TMC,5.0,17.0,63.0
NTMC,4.0,24.0,57.0
DBC,1.0,49.0,35.0
EC,2.0,44.0,39.0
OC,2.0,28.0,55.0
