approach,BC,WM,LC,TMC,NTMC,DBC,EC,OC
smart selection,0.5524906573421411,0.5715154130182448,0.5875585772487614,0.8314748425952044,0.7154365690300526,0.5595325438368021,40.85952380952381,0.4482929689305583
original combination,0.5345383325778524,0.563880753766681,0.583347026247377,0.8378288297732187,0.7037692501952104,0.5407191407787839,38.14430379746835,0.426258732290882
constituent criterion,0.573772214926254,0.5752164788039887,0.5860773368577534,0.809635713314426,0.6826108861184372,0.5693988350200258,38.385185185185186,0.46222836969056114
