approach,BC,WM,LC,TMC,NTMC,DBC,EC,OC
smart selection,0.5993426047321774,0.6219719844083629,0.6335839157847237,0.8456813293674935,0.7292543856160375,0.5970748903420252,19.840359897172238,0.46742413557959683
original combination,0.5894350919276483,0.6256184822580453,0.6276585012829713,0.8502553035671583,0.7245442801143442,0.5868663380595499,18.731619537275066,0.4614410631615333
constituent criterion,0.6041947993962812,0.6308928538850777,0.6300226720409912,0.8342481146666736,0.7060310893539432,0.5981611262542239,18.77396907216495,0.474747424928111
