approach,Size
smart selection,64.05459183673469
original combination,59.785316455696204
BC,38.778426395939086
WM,25.45563909774436
LC,31.202010050251257
TMC,23.436340852130325
NTMC,19.00975
DBC,42.70481012658228
EC,50.39395465994962
OC,46.84156171284635
