approach,BC,WM,LC,TMC,NTMC,DBC,EC,OC
smart selection,0.61335251445031,0.6363426259708382,0.6467360905545526,0.8501713722932943,0.7341022458900786,0.6088435591000227,14.656493506493506,0.4741170425094054
original combination,0.607866632649372,0.6456722562348713,0.6443150840010858,0.8559216292073458,0.732056682864115,0.6030886465622972,14.105844155844157,0.4713799911376203
constituent criterion,0.6154401238452507,0.6469751061079387,0.6424720173357155,0.8430803552935041,0.7153094073522606,0.60755215317506,13.868627450980393,0.4803737858757303
