key,original combination,smart selection,non-significant
BC,19.0,65.0,231.0
WM,131.0,25.0,159.0
LC,53.0,50.0,212.0
TMC,25.0,8.0,282.0
NTMC,18.0,20.0,277.0
DBC,14.0,73.0,228.0
EC,19.0,66.0,230.0
OC,10.0,32.0,273.0
