approach,BC,WM,LC,TMC,NTMC,DBC,EC,OC
smart selection,0.593466902717024,0.6180739482040744,0.628870699296553,0.8467235230577899,0.7261189419103828,0.590718634488135,19.180612244897958,0.46084346176843183
original combination,0.5820865230446629,0.6187352573298769,0.6222101559632299,0.8462179203779001,0.7199972105625354,0.5784724580431542,18.048354430379746,0.45523119590935684
constituent criterion,0.6001662494216875,0.6191581662246588,0.6234900202606384,0.8315010677877555,0.7019414031584509,0.5900646980605182,18.055415617128464,0.46657215312981365
