approach,Size
smart selection,57.03033333333334
original combination,54.45916666666666
BC,34.97741666666667
WM,23.42375
LC,28.286916666666666
TMC,22.20875
NTMC,17.93675
DBC,38.156166666666664
EC,45.07075
OC,41.674083333333336
