approach,BC,WM,LC,TMC,NTMC,DBC,EC,OC
smart selection,0.5686099530619582,0.5954875192993292,0.609070752826354,0.8353308599026974,0.7121778749295635,0.5650530048650158,16.946083333333334,0.4433318828524878
original combination,0.5583653242199512,0.5961939997211213,0.6027399435114666,0.8349550344909119,0.7070962511993827,0.5535498251239008,16.146,0.436974047819232
constituent criterion,0.5801111042742592,0.6003830203476348,0.607274489327867,0.8231746089529774,0.6932867621189714,0.5709178814915181,16.409666666666666,0.4494017761148211
