key,original combination,smart selection,non-significant
BC,21.0,114.0,265.0
WM,152.0,59.0,189.0
LC,61.0,87.0,252.0
TMC,29.0,27.0,344.0
NTMC,22.0,43.0,335.0
DBC,16.0,122.0,262.0
EC,19.0,108.0,273.0
OC,14.0,65.0,321.0
