key,smart selection without the subsumption strategy,smart selection,non-significant
BC,15.0,6.0,21.0
WM,11.0,10.0,21.0
LC,19.0,2.0,21.0
TMC,4.0,1.0,37.0
NTMC,6.0,4.0,32.0
DBC,11.0,3.0,28.0
EC,7.0,5.0,30.0
OC,10.0,4.0,28.0
