key,smart selection without the subsumption strategy,smart selection,non-significant
DBC,34.0,16.0,81.0
NTMC,9.0,4.0,118.0
EC,28.0,24.0,79.0
OC,17.0,8.0,106.0
BC,50.0,35.0,46.0
WM,33.0,48.0,50.0
LC,55.0,20.0,56.0
TMC,7.0,8.0,116.0
