approach,BC,WM,LC,TMC,NTMC,DBC,EC,OC
smart selection,0.42,0.47,0.47,0.81,0.63,0.43,28.87,0.33
smart selection without the subsumption strategy,0.45,0.49,0.49,0.81,0.64,0.46,32.66,0.35
