approach,BC,WM,LC,TMC,NTMC,DBC,EC,OC
smart selection,0.49,0.52,0.51,0.81,0.64,0.49,35.87,0.36
smart selection without the subsumption strategy,0.5,0.52,0.53,0.81,0.64,0.5,37.21,0.36
