key,smart selection without the subsumption strategy,smart selection,non-significant
BC,41.0,30.0,60.0
WM,29.0,49.0,53.0
LC,50.0,18.0,63.0
TMC,1.0,8.0,122.0
NTMC,5.0,9.0,117.0
DBC,22.0,11.0,98.0
EC,11.0,15.0,105.0
OC,11.0,10.0,110.0
