key,smart selection without the subsumption strategy,smart selection,non-significant
BC,15.0,13.0,103.0
WM,28.0,54.0,49.0
LC,36.0,19.0,76.0
TMC,0.0,9.0,122.0
NTMC,2.0,9.0,120.0
DBC,16.0,13.0,102.0
EC,12.0,15.0,104.0
OC,10.0,9.0,112.0
