approach,BC,WM,LC,TMC,NTMC,DBC,EC,OC
smart selection,0.47,0.52,0.51,0.79,0.63,0.46,16.43,0.38
smart selection without the subsumption strategy,0.48,0.53,0.53,0.78,0.63,0.48,17.47,0.39
