key,smart selection without the subsumption strategy,smart selection,non-significant
BC,9.0,1.0,32.0
WM,10.0,9.0,23.0
LC,20.0,1.0,21.0
TMC,3.0,2.0,37.0
NTMC,5.0,0.0,37.0
DBC,12.0,0.0,30.0
EC,10.0,2.0,30.0
OC,8.0,3.0,31.0
