key,smart selection without the subsumption strategy,smart selection,non-significant
BC,55.0,36.0,82.0
WM,39.0,58.0,76.0
LC,67.0,20.0,86.0
TMC,7.0,7.0,159.0
NTMC,10.0,14.0,149.0
DBC,32.0,12.0,129.0
EC,21.0,22.0,130.0
OC,21.0,16.0,136.0
