key,smart selection without the subsumption strategy,smart selection,non-significant
BC,73.0,39.0,61.0
WM,50.0,55.0,68.0
LC,82.0,25.0,66.0
TMC,14.0,13.0,146.0
NTMC,19.0,9.0,145.0
DBC,56.0,21.0,96.0
EC,52.0,27.0,94.0
OC,38.0,11.0,124.0
