approach,BC,WM,LC,TMC,NTMC,DBC,EC,OC
smart selection,0.6167476049060729,0.6430656506590591,0.6495749611575702,0.8457749748174105,0.7314217379589103,0.6116120820445649,14.856209150326798,0.47909697236731863
original combination,0.6178539718896247,0.6552362261266202,0.6541725061257566,0.8497301681281442,0.7334589276205864,0.613088987573163,14.966013071895425,0.47736046221036627
constituent criterion,0.6183380407632156,0.6594241241753339,0.6580920474112508,0.8209403580533691,0.721010197031443,0.6137007787089087,14.130718954248366,0.48090470104037775
