approach,BC,WM,LC,TMC,NTMC,DBC,EC,OC
smart selection,0.6113884422300546,0.6402090233369484,0.6470877659011586,0.8460511696539441,0.7298799330299461,0.6066674988970736,14.371246006389777,0.4715835308584324
original combination,0.6116387419169489,0.6499819460685051,0.6506788608494564,0.8515549127645687,0.7349286279801464,0.6071577627626678,14.310256410256411,0.47168826799323993
constituent criterion,0.6096636272729554,0.6518200821560739,0.6515166095536962,0.8199409559918409,0.7197650520519202,0.6054338106319032,13.642492012779552,0.47343739362069936
