key,original combination,constituent criterion,non-significant
BC,42.0,116.0,242.0
WM,14.0,88.0,298.0
LC,20.0,94.0,286.0
TMC,137.0,16.0,247.0
NTMC,76.0,31.0,293.0
DBC,29.0,118.0,253.0
EC,100.0,69.0,231.0
OC,20.0,63.0,317.0
