approach,BC,WM,LC,TMC,NTMC,DBC,EC,OC
smart selection,0.5116459145482376,0.5275401387377778,0.541591100745176,0.7891075317050859,0.6637539409017116,0.5050999752252328,30.975294117647053,0.41189114545923294
original combination,0.5058912852561124,0.5216745887842242,0.5390547878455275,0.7871386367180644,0.6595575775952804,0.49646891743556143,30.92509803921568,0.4060732890462432
constituent criterion,0.5274119265711668,0.5364222897455745,0.5522864337829684,0.7767384422932422,0.6545882687361921,0.5255906298878723,30.809803921568623,0.4199115406728302
