approach,BC,WM,LC,TMC,NTMC,DBC,EC,OC
smart selection,0.5675318146803143,0.5791522026458781,0.5918485065570807,0.8312666333117376,0.7108963117680765,0.560759509884831,40.743037974683546,0.44938130246878893
original combination,0.5651590763296732,0.5819765439017565,0.5925629642727354,0.8242897107628956,0.7030529103495512,0.5581535444812754,40.35625,0.4413728012595696
constituent criterion,0.5788666752092984,0.5900687380677218,0.6045454370352471,0.8052554585291293,0.6896919544512584,0.5810125616965098,37.28192771084338,0.45691253285143757
