approach,BC,WM,LC,TMC,NTMC,DBC,EC,OC
smart selection,0.5772989548940213,0.6047499811099041,0.613954479097941,0.8325361461963672,0.7110305179792148,0.5712358240540353,17.14725,0.4483970487201542
original combination,0.5757881724344371,0.610242564491416,0.6150038838792576,0.834194323833163,0.7122606966744891,0.5690188711094665,17.136999999999997,0.4481478785050033
constituent criterion,0.5824400887392771,0.6158940199515553,0.6216881501239954,0.8112102603033893,0.7031076560631991,0.5792148701183703,16.635666666666665,0.45249250022385296
