approach,BC,WM,LC,TMC,NTMC,DBC,EC,OC
smart selection,0.6069105672007423,0.6316711077322505,0.6383755257758118,0.846168693855893,0.7288406709932087,0.6018865521830604,19.778385416666666,0.47365228773049634
original combination,0.603828633167585,0.6372361259439177,0.6380969166969352,0.8437095458602821,0.7262603851378074,0.5986693637410411,19.895822454308092,0.468539518224148
constituent criterion,0.6087937412259808,0.6427801628195845,0.6452362708286674,0.8166255873472815,0.7138979081045285,0.6053489426749131,18.854102564102565,0.4770518538780795
