approach,BC,WM,LC,TMC,NTMC,DBC,EC,OC
smart selection,0.5819099163422442,0.5892724103044021,0.604043308135387,0.8389085792155172,0.7164884980730307,0.575465199891193,42.274698795180726,0.4604611905760266
original combination,0.5752927554799637,0.5901930724152495,0.6002376062956659,0.8330438110810734,0.7135691332061314,0.5685723447148624,42.21975308641975,0.45546027504945413
constituent criterion,0.5762546416711398,0.5993142745971854,0.6081601132345111,0.8139379730839107,0.684045009541678,0.5861369694774671,38.146987951807226,0.45857557267850707
