approach,Size
smart selection,205.6144578313253
original combination,194.31358024691357
BC,117.16144578313254
WM,120.6962962962963
LC,109.91463414634147
TMC,114.8780487804878
NTMC,119.93012048192772
DBC,132.8074074074074
EC,143.26265060240965
OC,137.4409638554217
