approach,Size
smart selection,73.40755208333333
original combination,73.11801566579635
BC,41.60383631713555
WM,43.967007672634274
LC,42.26128205128205
TMC,43.58769230769231
NTMC,44.143478260869564
DBC,45.32005141388175
EC,53.46076923076923
OC,49.96352040816326
