approach,Size
smart selection,41.98823529411764
original combination,42.92745098039216
BC,21.366123778501628
WM,24.343769968051117
LC,21.911184210526315
TMC,23.8640522875817
NTMC,23.664285714285715
DBC,23.755194805194805
EC,30.89281045751634
OC,27.085064935064935
