approach,BC,WM,LC,TMC,NTMC,DBC,EC,OC
smart selection,0.5950148546698677,0.625584383019843,0.6334811050026554,0.8442549786781416,0.7237876895715571,0.5890820054840294,13.415873015873016,0.4582478480127838
original combination,0.5946492372285881,0.6341418595235154,0.635498084396296,0.8468918901975546,0.7264821732514186,0.5885958427357583,13.416402116402118,0.45950133915260527
constituent criterion,0.5972889578957514,0.63733877254682,0.6404155973906217,0.8205121794489845,0.7162001891514391,0.5936849031964411,12.810899470899471,0.46128418772174795
