approach,BC,WM,LC,TMC,NTMC,DBC,EC,OC
smart selection,0.6171103096568541,0.645274365115278,0.6504267864914823,0.8500285718329038,0.7334885542023412,0.61253913035211,14.348196721311476,0.47993887079828285
original combination,0.6140384171511926,0.6518261146019141,0.6501190823534903,0.8488368950609121,0.7323877712205146,0.60936660975022,14.493729372937294,0.4757122487758518
constituent criterion,0.6168252860994672,0.656768307899367,0.6560695447606817,0.8196995961157071,0.7205210354884852,0.6117490948153376,13.87198697068404,0.4825443959762546
