key,original combination,smart selection,non-significant
BC,4.0,26.0,55.0
WM,22.0,14.0,49.0
LC,8.0,16.0,61.0
TMC,5.0,10.0,70.0
NTMC,5.0,12.0,68.0
DBC,3.0,26.0,56.0
EC,6.0,16.0,63.0
OC,0.0,8.0,77.0
