approach,Size
smart selection,198.92911392405063
original combination,191.635
BC,115.96867469879518
WM,120.54878048780488
LC,118.15975609756097
TMC,117.35301204819277
NTMC,119.15357142857142
DBC,127.53950617283951
EC,138.69036144578314
OC,132.96785714285716
