approach,BC,WM,LC,TMC,NTMC,DBC,EC,OC
smart selection,0.5987818607559721,0.6245219106733622,0.6332404863278734,0.8409720455272311,0.72314221662679,0.5943533753751129,19.3544080604534,0.46526359350669627
original combination,0.5994316073012005,0.6326788777632028,0.636537363436566,0.8444283284703495,0.7258064372163228,0.5944061008668703,19.18253164556962,0.46425212657143566
constituent criterion,0.5982110971897049,0.6356151409632751,0.6371886927366888,0.8153598799946566,0.7110624593424643,0.5959226270452845,18.203535353535354,0.4681115810033253
