key,original combination,smart selection,non-significant
BC,12.0,47.0,341.0
WM,149.0,27.0,224.0
LC,56.0,28.0,316.0
TMC,11.0,10.0,379.0
NTMC,25.0,15.0,360.0
DBC,8.0,44.0,348.0
EC,29.0,38.0,333.0
OC,18.0,23.0,359.0
